dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
2020-11-25 01:00:00,1,447.27,4.53,10.45,2.37,13.11,6.37,7.76,0.88
2020-11-25 02:00:00,1,467.3,2.07,17.31,10.1,18.84,7.1,8.6,1.16
2020-11-25 03:00:00,1,520.71,0.91,21.94,30.04,26.7,8.5,10.12,1.36
2020-11-25 04:00:00,1,460.63,0.33,14.4,40.77,20.5,6.13,7.33,0.95
2020-11-25 05:00:00,1,447.27,0.18,12.0,37.55,18.12,5.48,6.57,0.79
2020-11-25 06:00:00,1,473.98,0.16,12.68,35.41,19.55,6.62,7.79,0.71
2020-11-25 07:00:00,1,527.38,0.2,15.08,31.83,20.98,8.23,9.67,0.85
2020-11-25 08:00:00,1,627.52,0.28,18.17,27.18,21.46,9.85,11.59,1.03
2020-11-25 09:00:00,2,720.98,0.32,20.56,20.74,20.03,10.67,12.53,1.12
2020-11-25 10:00:00,3,1415.25,4.53,38.04,5.54,19.07,20.02,23.37,2.79
2020-11-25 11:00:00,4,2082.82,16.99,42.5,0.02,16.69,31.92,37.8,4.24
2020-11-25 12:00:00,4,1976.01,22.13,34.27,0.0,12.99,34.41,42.79,4.88
2020-11-25 13:00:00,4,1682.28,20.79,28.79,0.0,10.01,33.67,43.45,4.43
2020-11-25 14:00:00,4,1321.79,15.2,25.36,0.01,6.97,30.37,39.92,2.57
2020-11-25 15:00:00,3,921.25,8.49,20.39,0.09,4.89,22.43,29.83,1.41
2020-11-25 16:00:00,1,357.15,0.27,8.14,2.39,3.79,6.13,7.85,0.31
2020-11-25 17:00:00,1,290.39,0.21,4.5,1.81,2.92,3.42,4.61,0.42
2020-11-25 18:00:00,1,267.03,0.31,3.6,1.19,3.07,2.7,3.76,0.51
2020-11-25 19:00:00,1,257.02,0.65,3.04,0.55,2.95,2.72,4.06,0.73
2020-11-25 20:00:00,1,250.34,1.26,2.23,0.15,2.89,2.89,4.66,0.93
2020-11-25 21:00:00,1,257.02,2.1,1.63,0.03,3.19,3.04,5.14,1.12
2020-11-25 22:00:00,1,310.42,4.08,1.61,0.01,4.35,4.11,6.49,1.41
2020-11-25 23:00:00,1,494.0,8.83,2.14,0.05,6.14,7.1,10.3,1.77
2020-11-26 00:00:00,1,700.95,13.41,4.03,0.4,7.75,9.46,13.48,1.82
2020-11-26 01:00:00,1,447.27,3.05,10.54,3.13,11.21,5.44,7.0,0.84
2020-11-26 02:00:00,1,397.21,1.44,11.48,4.2,12.4,4.77,6.13,0.88
2020-11-26 03:00:00,1,353.81,0.99,10.28,4.56,12.4,3.83,5.09,0.83
2020-11-26 04:00:00,1,307.08,0.49,6.86,5.01,8.7,2.54,3.43,0.61
2020-11-26 05:00:00,1,333.79,0.57,7.28,5.81,8.82,2.74,3.56,0.68
2020-11-26 06:00:00,1,393.87,0.78,9.51,7.33,11.33,3.68,4.51,0.82
2020-11-26 07:00:00,1,560.76,1.37,14.05,8.05,12.28,6.1,7.32,1.3
2020-11-26 08:00:00,2,854.49,3.19,21.42,4.6,13.35,10.08,12.0,2.09
2020-11-26 09:00:00,2,1241.68,10.06,26.39,1.03,16.93,14.82,17.44,3.17
2020-11-26 10:00:00,3,1762.39,21.91,31.87,0.11,22.41,22.65,26.26,4.56
2020-11-26 11:00:00,4,2029.42,28.39,36.67,0.0,21.46,30.26,35.03,4.18
2020-11-26 12:00:00,4,1922.61,26.82,37.7,0.0,16.69,33.52,39.11,3.23
2020-11-26 13:00:00,4,1602.17,20.34,34.96,0.0,12.16,32.79,38.61,2.63
2020-11-26 14:00:00,4,1388.55,15.87,29.13,0.0,9.66,31.93,38.16,2.95
2020-11-26 15:00:00,4,1268.39,14.75,23.65,0.0,8.7,30.88,37.46,3.26
2020-11-26 16:00:00,3,1001.36,11.74,17.31,0.0,7.21,24.25,29.96,2.38
2020-11-26 17:00:00,2,714.3,8.05,12.51,0.0,5.78,17.66,21.86,1.46
2020-11-26 18:00:00,2,520.71,5.2,9.94,0.01,5.36,13.41,16.32,1.0
2020-11-26 19:00:00,1,310.42,0.59,9.43,0.88,6.97,9.09,10.27,0.31
2020-11-26 20:00:00,1,236.99,0.21,6.34,0.98,5.84,5.88,6.62,0.33
2020-11-26 21:00:00,1,216.96,0.33,4.41,0.79,4.77,3.52,4.07,0.35
2020-11-26 22:00:00,1,230.31,0.87,3.9,0.53,5.13,2.67,3.18,0.41
2020-11-26 23:00:00,1,280.38,2.18,3.47,0.31,5.66,2.89,3.61,0.55
2020-11-27 00:00:00,1,320.44,2.6,4.03,0.94,5.78,2.9,3.78,0.56
2020-11-27 01:00:00,1,337.12,1.36,6.34,5.05,6.02,2.95,3.89,0.57
2020-11-27 02:00:00,1,340.46,0.82,7.37,13.05,6.26,3.46,4.64,0.67
2020-11-27 03:00:00,1,337.12,0.66,7.2,20.21,6.2,3.68,4.94,0.66
2020-11-27 04:00:00,1,333.79,0.62,6.43,22.71,5.78,3.54,4.82,0.62
2020-11-27 05:00:00,1,393.87,0.73,8.4,31.11,7.39,4.62,5.96,0.78
2020-11-27 06:00:00,1,534.06,0.82,13.02,52.93,11.92,7.78,9.27,1.2
2020-11-27 07:00:00,2,660.9,0.87,14.57,105.86,17.64,12.53,14.14,1.46
2020-11-27 08:00:00,2,694.28,0.45,15.08,114.44,20.74,14.71,16.26,1.2
2020-11-27 09:00:00,2,687.6,0.25,16.97,87.26,21.22,13.65,14.99,0.88
2020-11-27 10:00:00,3,1375.2,0.1,41.47,36.12,18.36,21.92,24.37,2.06
2020-11-27 11:00:00,4,2136.23,2.01,60.32,4.78,17.88,34.67,39.04,4.37
2020-11-27 12:00:00,4,2296.45,7.26,54.15,0.2,19.55,40.25,46.19,7.66
2020-11-27 13:00:00,4,2349.85,11.62,49.35,0.04,24.32,46.43,53.42,12.03
2020-11-27 14:00:00,5,2456.67,16.32,44.55,0.01,26.94,53.38,61.06,14.95
2020-11-27 15:00:00,5,2403.26,21.23,37.01,0.0,25.75,54.81,62.62,14.95
2020-11-27 16:00:00,4,2002.72,21.23,26.39,0.0,19.07,44.27,50.85,10.01
2020-11-27 17:00:00,4,1508.71,16.54,19.36,0.0,10.25,33.2,38.09,3.71
2020-11-27 18:00:00,3,1041.41,8.94,17.14,0.04,5.84,24.54,27.83,1.14
2020-11-27 19:00:00,2,433.92,1.06,12.68,0.33,6.62,11.94,13.01,0.14
2020-11-27 20:00:00,1,340.46,0.65,9.43,0.22,3.99,9.22,10.12,0.5
2020-11-27 21:00:00,1,300.41,0.82,6.94,0.17,3.19,7.83,8.65,0.67
2020-11-27 22:00:00,1,320.44,1.62,6.17,0.1,3.58,8.07,8.98,0.89
2020-11-27 23:00:00,1,417.23,4.14,6.0,0.12,4.53,9.22,10.69,1.14
2020-11-28 00:00:00,1,494.0,5.64,6.94,1.05,5.6,8.86,10.75,1.14
2020-11-28 01:00:00,1,423.91,1.31,10.03,7.06,8.82,6.08,7.27,0.73
2020-11-28 02:00:00,1,417.23,0.64,11.14,16.63,11.44,6.1,7.31,0.81
2020-11-28 03:00:00,1,413.9,0.52,12.0,30.76,14.54,6.59,7.87,0.88
2020-11-28 04:00:00,1,367.17,0.44,8.91,38.98,13.47,5.53,6.61,0.67
2020-11-28 05:00:00,1,343.8,0.4,7.28,43.63,12.88,4.82,5.75,0.57
2020-11-28 06:00:00,1,337.12,0.38,6.43,52.21,13.23,4.65,5.45,0.53
2020-11-28 07:00:00,1,327.11,0.38,5.57,52.21,12.04,4.12,4.86,0.5
2020-11-28 08:00:00,1,343.8,0.45,6.34,53.64,11.92,4.23,5.02,0.56
2020-11-28 09:00:00,1,377.18,0.47,7.97,50.07,11.8,4.54,5.39,0.61
2020-11-28 10:00:00,2,947.95,0.43,28.45,31.47,12.4,12.03,14.1,1.82
2020-11-28 11:00:00,3,1575.47,0.87,47.98,6.8,12.16,22.62,26.7,3.26
2020-11-28 12:00:00,3,1548.77,4.69,41.13,0.34,11.44,24.89,30.54,4.94
2020-11-28 13:00:00,3,1268.39,6.09,29.82,0.17,10.85,22.83,29.52,6.21
2020-11-28 14:00:00,3,1041.41,6.87,20.74,0.09,7.87,20.7,28.03,4.69
2020-11-28 15:00:00,2,834.47,7.26,13.37,0.08,5.25,16.64,23.34,2.5
2020-11-28 16:00:00,2,574.11,5.53,8.14,0.07,3.46,10.05,14.7,1.2
2020-11-28 17:00:00,1,480.65,5.98,5.48,0.01,3.16,8.2,12.45,1.31
2020-11-28 18:00:00,1,460.63,6.82,4.46,0.01,3.64,8.62,12.93,1.73
2020-11-28 19:00:00,1,417.23,6.76,3.6,0.01,3.79,8.63,13.06,1.96
2020-11-28 20:00:00,1,333.79,5.59,2.59,0.01,3.43,7.4,11.7,1.77
2020-11-28 21:00:00,1,270.37,4.41,1.99,0.02,3.25,5.97,9.64,1.5
2020-11-28 22:00:00,1,267.03,3.86,2.19,0.03,3.73,5.16,7.72,1.22
2020-11-28 23:00:00,1,377.18,6.15,2.4,0.07,4.59,6.38,8.94,1.36
2020-11-29 00:00:00,1,480.65,8.27,3.34,0.68,5.25,7.08,9.81,1.25
2020-11-29 01:00:00,1,340.46,1.66,7.2,6.44,7.09,4.03,5.25,0.7
2020-11-29 02:00:00,1,327.11,0.82,7.88,13.77,8.82,3.72,4.9,0.84
2020-11-29 03:00:00,1,317.1,0.61,8.14,20.39,11.09,3.67,4.99,0.99
2020-11-29 04:00:00,1,277.04,0.29,5.91,18.6,8.94,2.64,3.59,0.68
2020-11-29 05:00:00,1,283.72,0.21,6.43,14.84,9.18,2.75,3.61,0.63
2020-11-29 06:00:00,1,313.76,0.15,8.74,12.52,11.44,3.42,4.27,0.67
2020-11-29 07:00:00,1,350.48,0.37,10.28,11.8,12.88,4.13,5.01,0.68
2020-11-29 08:00:00,1,403.88,0.67,11.14,15.56,13.59,4.92,5.8,0.71
2020-11-29 09:00:00,1,480.65,0.73,12.68,17.52,13.83,5.81,6.65,0.76
2020-11-29 10:00:00,1,534.06,0.35,13.71,11.98,13.35,6.29,7.12,0.83
2020-11-29 11:00:00,1,520.71,0.26,12.85,6.17,12.64,6.41,7.31,0.92
2020-11-29 12:00:00,1,453.95,0.42,10.88,3.62,10.97,6.03,7.11,0.94
2020-11-29 13:00:00,1,460.63,0.89,11.31,1.79,10.01,7.02,8.39,1.16
2020-11-29 14:00:00,2,547.41,2.26,14.22,0.29,10.13,10.02,11.94,1.35
2020-11-29 15:00:00,2,554.09,2.96,16.45,0.12,8.7,11.42,13.46,0.98
2020-11-29 16:00:00,1,453.95,1.77,14.57,0.32,5.36,9.73,11.11,0.56
2020-11-29 17:00:00,1,350.48,1.05,10.03,0.49,3.93,7.5,8.51,0.59
2020-11-29 18:00:00,1,290.39,0.84,6.86,0.46,3.79,5.83,6.81,0.69
2020-11-29 19:00:00,1,243.66,0.81,4.54,0.4,3.52,4.32,5.4,0.71
2020-11-29 20:00:00,1,220.3,0.96,3.51,0.36,3.82,3.39,4.47,0.75
2020-11-29 21:00:00,1,223.64,1.51,3.51,0.24,5.25,3.16,4.18,0.84
2020-11-29 22:00:00,1,250.34,3.19,4.54,0.07,9.06,3.87,4.85,0.98
2020-11-29 23:00:00,1,330.45,6.26,5.31,0.07,12.76,5.57,6.85,1.22
2020-11-30 00:00:00,1,400.54,7.71,6.77,0.73,14.54,6.34,7.86,1.17
2020-11-30 01:00:00,1,417.23,4.97,11.65,4.74,16.69,6.32,7.6,0.99
2020-11-30 02:00:00,1,447.27,2.65,16.79,17.52,19.79,7.5,8.76,0.97
2020-11-30 03:00:00,1,440.6,1.31,17.31,42.2,21.46,8.54,9.8,0.84
2020-11-30 04:00:00,1,390.53,0.52,14.22,55.79,18.84,7.89,9.25,0.68
2020-11-30 05:00:00,1,393.87,0.37,14.22,52.21,19.31,7.88,9.34,0.72
2020-11-30 06:00:00,1,453.95,0.34,16.79,49.35,23.37,9.28,10.81,0.8
2020-11-30 07:00:00,2,547.41,0.35,21.08,49.35,27.42,12.07,13.8,0.99
2020-11-30 08:00:00,2,707.63,0.28,26.73,47.21,29.33,15.95,18.08,1.28
2020-11-30 09:00:00,2,881.2,0.14,31.53,37.91,28.37,18.5,20.92,1.57
2020-11-30 10:00:00,2,1068.12,0.06,34.27,22.35,23.37,19.17,21.71,2.06
2020-11-30 11:00:00,3,1241.68,0.37,37.7,8.67,18.6,21.4,24.67,2.79
2020-11-30 12:00:00,3,1228.33,1.61,37.36,2.19,15.74,23.85,28.23,3.01
2020-11-30 13:00:00,3,1108.17,2.71,33.24,0.6,13.35,24.44,29.62,3.1
2020-11-30 14:00:00,4,1081.47,3.86,31.87,0.17,12.88,26.71,32.54,3.71
2020-11-30 15:00:00,4,1094.82,4.69,32.9,0.09,13.47,29.54,35.37,4.02
2020-11-30 16:00:00,4,974.66,3.91,32.56,0.12,12.52,29.51,34.81,3.33
2020-11-30 17:00:00,4,781.06,2.32,28.79,0.22,10.49,27.43,32.16,2.76
2020-11-30 18:00:00,4,627.52,1.34,23.99,0.3,8.94,25.75,30.06,2.63
2020-11-30 19:00:00,3,447.27,0.81,16.45,0.39,6.5,20.7,24.49,2.19
2020-11-30 20:00:00,2,293.73,0.57,9.51,0.45,4.23,13.32,16.17,1.41
2020-11-30 21:00:00,1,216.96,0.62,5.57,0.42,3.28,7.69,9.41,0.9
2020-11-30 22:00:00,1,220.3,1.27,4.24,0.33,3.58,5.09,6.18,0.71
2020-11-30 23:00:00,1,320.44,4.25,3.6,0.32,4.77,5.58,7.13,0.99
2020-12-01 00:00:00,1,433.92,6.15,5.4,3.44,6.32,6.52,8.79,1.22
2020-12-01 01:00:00,1,380.52,1.55,9.77,28.61,10.85,5.33,6.8,0.83
2020-12-01 02:00:00,1,383.85,0.69,11.48,51.5,15.14,5.96,7.53,1.01
2020-12-01 03:00:00,1,400.54,0.37,13.88,59.37,20.5,6.78,8.55,1.16
2020-12-01 04:00:00,1,357.15,0.45,10.8,50.07,18.6,4.84,6.08,0.86
2020-12-01 05:00:00,1,373.84,0.46,9.85,61.51,19.07,5.21,6.29,0.79
2020-12-01 06:00:00,2,427.25,0.34,10.2,80.11,21.94,7.49,8.67,0.73
2020-12-01 07:00:00,2,487.33,0.29,11.14,92.98,24.56,10.32,11.6,0.69
2020-12-01 08:00:00,2,567.44,0.4,12.51,103.0,26.46,13.34,14.68,0.74
2020-12-01 09:00:00,2,654.22,0.43,14.22,101.57,26.46,15.2,16.5,0.76
2020-12-01 10:00:00,2,834.47,0.16,19.71,71.53,23.13,16.75,18.25,1.19
2020-12-01 11:00:00,3,1094.82,0.0,26.73,41.84,20.03,20.79,22.97,1.79
2020-12-01 12:00:00,4,1201.63,0.0,28.79,30.04,17.88,25.09,28.02,1.88
2020-12-01 13:00:00,4,1134.87,0.0,26.05,27.54,15.02,26.32,29.57,1.79
2020-12-01 14:00:00,4,1121.52,0.0,26.05,24.32,13.95,28.59,32.16,1.92
2020-12-01 15:00:00,4,1068.12,0.0,28.79,22.89,12.64,30.15,33.69,1.63
2020-12-01 16:00:00,4,827.79,0.0,25.71,25.03,9.42,27.5,30.28,0.89
2020-12-01 17:00:00,3,594.14,0.0,17.99,25.75,6.62,22.97,24.99,0.57
2020-12-01 18:00:00,2,447.27,0.0,11.65,22.53,5.19,17.89,19.36,0.49
2020-12-01 19:00:00,2,337.12,0.0,6.6,15.56,3.87,11.48,12.56,0.46
2020-12-01 20:00:00,1,277.04,0.03,4.33,8.94,3.04,6.69,7.67,0.52
2020-12-01 21:00:00,1,257.02,0.11,3.77,5.1,2.89,4.43,5.42,0.59
2020-12-01 22:00:00,1,270.37,0.48,4.33,2.59,3.43,3.88,5.01,0.69
2020-12-01 23:00:00,1,337.12,2.18,4.67,0.85,4.29,4.47,6.05,0.9
2020-12-02 00:00:00,1,390.53,3.91,4.71,1.61,5.13,4.37,6.26,0.92
2020-12-02 01:00:00,1,323.77,1.45,6.43,6.17,7.15,2.73,3.93,0.62
2020-12-02 02:00:00,1,303.75,0.91,7.03,9.39,8.58,2.5,3.6,0.64
2020-12-02 03:00:00,1,290.39,0.63,7.11,12.7,9.78,2.24,3.16,0.58
2020-12-02 04:00:00,1,273.71,0.33,4.8,13.59,7.51,1.41,2.02,0.4
2020-12-02 05:00:00,1,277.04,0.26,4.2,11.62,6.26,1.13,1.59,0.35
2020-12-02 06:00:00,1,283.72,0.26,4.46,9.39,6.26,1.12,1.52,0.35
2020-12-02 07:00:00,1,433.92,1.61,8.57,4.92,6.56,3.03,3.96,0.99
2020-12-02 08:00:00,1,734.33,6.93,13.02,1.52,8.82,6.87,8.69,2.09
2020-12-02 09:00:00,2,1188.28,18.55,15.59,0.37,14.78,12.41,15.11,4.02
2020-12-02 10:00:00,3,2109.53,42.02,20.05,0.05,27.42,24.89,29.14,8.74
2020-12-02 11:00:00,4,3097.53,66.16,22.62,0.0,36.72,42.74,49.32,13.93
2020-12-02 12:00:00,5,3471.37,76.0,21.76,0.0,34.33,55.93,64.78,14.95
2020-12-02 13:00:00,5,3417.97,73.31,20.05,0.0,25.03,62.38,72.51,11.02
2020-12-02 14:00:00,5,3150.94,66.16,17.65,0.0,16.21,63.26,73.97,6.84
2020-12-02 15:00:00,5,2403.26,49.62,13.37,0.0,9.89,50.03,60.04,3.64
2020-12-02 16:00:00,4,1335.14,25.48,8.48,0.0,5.96,26.05,32.98,1.6
2020-12-02 17:00:00,2,787.74,13.75,5.36,0.0,4.29,14.34,18.76,1.08
2020-12-02 18:00:00,1,527.38,8.72,3.68,0.0,3.82,9.59,12.53,0.9
2020-12-02 19:00:00,1,337.12,4.64,2.53,0.01,3.52,5.74,7.36,0.67
2020-12-02 20:00:00,1,253.68,2.91,1.78,0.02,3.25,3.92,5.02,0.62
2020-12-02 21:00:00,1,233.65,2.32,1.54,0.03,3.31,3.23,4.16,0.6
2020-12-02 22:00:00,1,257.02,2.82,1.71,0.03,4.17,3.39,4.35,0.66
2020-12-02 23:00:00,1,333.79,4.81,2.08,0.08,5.6,4.58,6.02,0.91
2020-12-03 00:00:00,1,413.9,6.09,3.94,1.08,7.39,5.44,7.36,1.03
2020-12-03 01:00:00,1,403.88,2.79,9.68,9.84,12.04,5.38,6.85,0.82
2020-12-03 02:00:00,1,440.6,1.43,14.22,32.9,17.64,6.76,8.23,0.98
2020-12-03 03:00:00,1,480.65,0.87,14.91,65.09,23.37,8.25,9.78,1.14
2020-12-03 04:00:00,1,423.91,0.57,9.25,75.82,19.31,6.87,8.14,0.88
2020-12-03 05:00:00,2,417.23,0.48,6.51,84.4,17.17,6.76,8.01,0.81
2020-12-03 06:00:00,2,433.92,0.46,5.27,85.83,16.21,7.24,8.52,0.78
2020-12-03 07:00:00,2,500.68,0.55,6.6,83.69,15.74,8.27,9.89,0.98
2020-12-03 08:00:00,2,607.49,0.57,10.03,75.82,17.17,10.2,12.1,1.14
2020-12-03 09:00:00,2,720.98,0.41,15.42,52.93,18.12,11.57,13.44,1.16
2020-12-03 10:00:00,2,1094.82,0.19,28.1,23.25,18.84,15.71,17.99,1.73
2020-12-03 11:00:00,2,1375.2,1.84,32.9,3.89,15.14,19.48,22.77,2.44
2020-12-03 12:00:00,2,1214.98,5.2,22.96,0.4,10.25,17.83,22.08,2.76
2020-12-03 13:00:00,2,1001.36,6.48,15.25,0.2,7.63,16.7,21.65,2.98
2020-12-03 14:00:00,2,834.47,6.26,10.88,0.19,6.26,15.48,20.43,2.69
2020-12-03 15:00:00,2,680.92,5.48,8.05,0.22,5.07,12.51,16.24,2.03
2020-12-03 16:00:00,1,494.0,3.44,5.91,0.42,3.64,7.74,9.82,1.08
2020-12-03 17:00:00,1,373.84,1.47,4.54,0.98,2.92,4.86,6.0,0.73
2020-12-03 18:00:00,1,320.44,0.41,3.56,2.24,2.83,3.71,4.46,0.57
2020-12-03 19:00:00,1,297.07,0.13,2.72,3.49,2.92,3.04,3.62,0.47
2020-12-03 20:00:00,1,297.07,0.11,2.57,3.89,3.22,2.83,3.36,0.46
2020-12-03 21:00:00,1,307.08,0.15,2.96,3.93,3.99,2.8,3.27,0.47
2020-12-03 22:00:00,1,327.11,0.26,4.11,4.11,5.9,3.22,3.64,0.5
2020-12-03 23:00:00,1,370.5,0.66,5.74,3.26,7.33,4.08,4.68,0.65
2020-12-04 00:00:00,1,417.23,1.3,7.11,2.91,8.35,4.44,5.25,0.73
2020-12-04 01:00:00,1,427.25,0.92,8.14,5.54,8.94,4.43,5.25,0.71
2020-12-04 02:00:00,1,410.56,0.35,7.8,9.92,8.94,4.27,5.06,0.66
2020-12-04 03:00:00,1,383.85,0.18,6.86,13.05,8.7,3.85,4.56,0.59
2020-12-04 04:00:00,1,360.49,0.19,5.74,16.63,7.75,3.57,4.16,0.46
2020-12-04 05:00:00,1,370.5,0.26,5.66,22.71,7.99,4.08,4.59,0.44
2020-12-04 06:00:00,1,390.53,0.34,6.08,28.97,8.82,5.11,5.58,0.44
2020-12-04 07:00:00,1,400.54,0.41,5.83,32.54,8.58,6.16,6.62,0.42
2020-12-04 08:00:00,1,417.23,0.52,5.91,35.05,8.35,7.18,7.67,0.44
2020-12-04 09:00:00,1,460.63,0.57,7.03,35.76,8.58,7.9,8.42,0.49
2020-12-04 10:00:00,1,654.22,0.34,13.54,28.61,9.18,9.98,10.89,0.9
2020-12-04 11:00:00,2,794.41,0.03,16.97,20.21,8.23,12.23,13.91,1.3
2020-12-04 12:00:00,2,727.65,0.06,14.4,16.09,6.38,12.49,15.14,1.46
2020-12-04 13:00:00,2,700.95,0.2,14.05,11.0,5.72,13.58,17.39,1.82
2020-12-04 14:00:00,2,754.36,1.05,15.77,4.2,6.08,16.37,21.45,2.38
2020-12-04 15:00:00,2,741.01,3.35,14.91,0.65,6.02,16.83,22.54,2.5
2020-12-04 16:00:00,2,574.11,3.69,11.65,0.31,4.71,13.05,17.72,1.79
2020-12-04 17:00:00,2,420.57,1.75,9.6,0.73,3.55,10.13,12.98,1.25
2020-12-04 18:00:00,1,353.81,0.45,8.82,2.17,3.55,9.18,10.84,1.03
2020-12-04 19:00:00,1,317.1,0.08,7.63,4.6,4.05,8.65,9.61,0.82
2020-12-04 20:00:00,1,297.07,0.08,6.77,4.29,3.87,8.12,8.94,0.93
2020-12-04 21:00:00,1,297.07,0.14,6.43,3.53,3.82,7.74,8.49,1.01
2020-12-04 22:00:00,1,323.77,0.38,7.28,2.39,4.53,8.15,8.94,1.01
2020-12-04 23:00:00,1,390.53,1.61,8.05,1.33,5.25,8.96,10.12,1.14
2020-12-05 00:00:00,1,460.63,3.19,8.23,2.91,5.72,8.87,10.66,1.14
2020-12-05 01:00:00,1,400.54,1.37,10.2,13.05,10.25,7.73,8.96,0.52
2020-12-05 02:00:00,1,413.9,1.06,12.0,30.4,14.07,8.46,9.72,0.74
2020-12-05 03:00:00,2,453.95,0.83,13.2,57.22,18.84,10.28,11.71,1.01
2020-12-05 04:00:00,1,417.23,0.48,8.74,65.8,15.74,9.33,10.58,0.88
2020-12-05 05:00:00,1,433.92,0.36,8.48,65.8,15.5,9.59,10.91,0.89
2020-12-05 06:00:00,1,460.63,0.27,8.74,57.22,15.26,9.84,11.11,0.86
2020-12-05 07:00:00,1,460.63,0.31,8.4,44.35,13.23,8.8,9.94,0.87
2020-12-05 08:00:00,1,480.65,0.47,8.74,41.13,11.8,7.94,8.99,0.96
2020-12-05 09:00:00,1,534.06,0.54,10.11,38.98,10.85,7.6,8.61,1.05
2020-12-05 10:00:00,1,607.49,0.21,12.17,31.83,9.3,7.72,8.84,1.24
2020-12-05 11:00:00,1,647.54,0.0,12.0,25.75,7.51,8.19,9.58,1.39
2020-12-05 12:00:00,1,627.52,0.01,10.28,24.32,6.2,8.73,10.33,1.41
2020-12-05 13:00:00,1,587.46,0.01,8.31,24.32,5.36,8.91,10.46,1.24
2020-12-05 14:00:00,1,567.44,0.01,7.63,23.6,5.13,9.04,10.57,1.24
2020-12-05 15:00:00,1,560.76,0.01,8.14,22.89,5.13,8.86,10.34,1.16
2020-12-05 16:00:00,1,494.0,0.01,7.54,22.17,4.41,7.37,8.64,0.78
2020-12-05 17:00:00,1,410.56,0.0,5.83,21.99,3.73,5.99,7.03,0.57
2020-12-05 18:00:00,1,353.81,0.0,4.37,21.28,3.34,5.29,6.12,0.48
2020-12-05 19:00:00,1,327.11,0.01,3.47,17.88,2.65,5.21,6.03,0.54
2020-12-05 20:00:00,1,320.44,0.03,3.73,13.41,2.59,5.62,6.71,0.76
2020-12-05 21:00:00,1,323.77,0.07,4.8,10.1,3.04,6.12,7.43,1.09
2020-12-05 22:00:00,1,367.17,0.23,7.28,7.24,4.17,7.24,8.71,1.44
2020-12-05 23:00:00,1,494.0,1.4,10.8,3.22,5.31,9.5,11.42,1.55
2020-12-06 00:00:00,2,587.46,3.63,11.48,2.48,6.32,10.55,12.7,1.31
2020-12-06 01:00:00,2,453.95,1.51,13.54,11.36,14.07,10.35,11.47,0.49
2020-12-06 02:00:00,2,487.33,1.24,16.62,19.13,19.55,11.94,13.05,0.59
2020-12-06 03:00:00,2,520.71,0.87,18.85,28.97,23.84,13.52,14.68,0.62
2020-12-06 04:00:00,2,480.65,0.67,14.05,40.77,20.03,11.89,12.88,0.55
2020-12-06 05:00:00,2,467.3,0.38,11.14,47.21,17.41,10.71,11.58,0.51
2020-12-06 06:00:00,1,460.63,0.25,9.34,46.49,15.97,9.69,10.41,0.48
2020-12-06 07:00:00,2,654.22,0.31,14.22,37.19,13.23,11.09,12.17,1.24
2020-12-06 08:00:00,2,1028.06,0.5,22.96,29.33,12.28,15.59,17.27,1.66
2020-12-06 09:00:00,3,1495.36,0.76,33.59,21.64,13.83,21.41,23.62,2.12
2020-12-06 10:00:00,4,2002.72,0.71,46.61,12.16,21.7,28.2,31.0,4.81
2020-12-06 11:00:00,4,2349.85,1.87,54.84,2.91,30.52,35.51,39.07,7.98
2020-12-06 12:00:00,4,2456.67,4.3,57.58,0.37,35.29,42.23,46.47,9.88
2020-12-06 13:00:00,4,2403.26,4.97,57.58,0.19,39.1,47.18,51.72,10.77
2020-12-06 14:00:00,4,2162.93,4.08,59.63,0.2,37.67,49.2,53.81,10.01
2020-12-06 15:00:00,4,1668.93,2.82,56.21,0.34,28.85,44.57,48.78,7.28
2020-12-06 16:00:00,4,1094.82,1.31,42.5,0.95,12.16,33.61,36.67,1.98
2020-12-06 17:00:00,4,727.65,0.51,29.47,1.97,6.8,25.31,27.51,0.86
2020-12-06 18:00:00,3,540.73,0.16,21.94,3.84,6.32,21.38,23.06,0.63
2020-12-06 19:00:00,2,380.52,0.02,14.91,11.09,9.06,15.22,16.12,0.0
2020-12-06 20:00:00,2,333.79,0.02,10.71,12.34,9.3,10.42,11.15,0.09
2020-12-06 21:00:00,1,320.44,0.03,9.94,11.8,10.49,8.23,8.93,0.3
2020-12-06 22:00:00,1,330.45,0.08,12.17,9.74,14.07,8.02,8.74,0.41
2020-12-06 23:00:00,1,373.84,0.51,15.25,6.44,17.41,9.14,10.14,0.63
2020-12-07 00:00:00,1,413.9,1.84,15.42,9.57,17.64,9.61,10.96,0.69
2020-12-07 01:00:00,1,433.92,0.76,17.48,14.31,18.12,9.38,10.65,0.65
2020-12-07 02:00:00,2,487.33,0.57,22.28,14.66,24.08,11.31,12.61,0.68
2020-12-07 03:00:00,2,554.09,0.49,27.42,17.52,31.47,15.41,16.86,0.53
2020-12-07 04:00:00,2,567.44,0.31,27.42,23.25,32.9,17.02,18.35,0.25
2020-12-07 05:00:00,2,540.73,0.19,22.28,28.97,29.56,15.38,16.41,0.05
2020-12-07 06:00:00,2,500.68,0.12,16.79,32.54,24.08,12.59,13.37,0.0
2020-12-07 07:00:00,2,487.33,0.1,13.54,33.26,20.74,10.51,11.14,0.01
